City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Roebourne,AU,87.01,clear sky,-20.7833,117.1333,Harding River Caravan Park
183,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
185,Key West,US,70.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
188,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
189,Mudgee,AU,87.8,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
192,Dzaoudzi,YT,78.8,overcast clouds,-12.7887,45.2699,Le Rocher
193,Esperance,AU,66.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
194,Ajaccio,FR,55.4,overcast clouds,42.0,8.9167,Sole E Monte
198,Saint-Joseph,RE,78.8,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
200,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
201,Cacu,BR,75.2,light rain,-18.5567,-51.1308,Império Hotel
202,Tual,ID,83.98,light rain,-5.6667,132.75,Grand Vilia Hotel
203,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
205,Ribeira Grande,PT,62.76,moderate rain,38.5167,-28.7,Quinta da Meia Eira
207,Richards Bay,ZA,79.52,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
209,Namibe,AO,74.46,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
210,Ibadan,NG,72.82,overcast clouds,7.3878,3.8964,BTE Suites & Civic Center
211,Devonport,AU,73.0,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
212,Castro,BR,64.54,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
213,Gurupa,BR,77.4,scattered clouds,-1.405,-51.64,Residencial DWD
214,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
215,Queanbeyan,AU,90.0,clear sky,-35.35,149.2333,Parkway Motel
217,Jega,NG,70.61,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
218,Sumbe,AO,74.57,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
220,Hualmay,PE,72.68,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
221,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
222,Honiara,SB,85.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
